diff
2.8
1.4
2
0.7
0.7
1.3
0.9
1.2
1.2
1.5
0.6
-0.1
1.8
1.7
1.4
1.1
0.8
0.4
0.2
1.3
0.8
1.7
0.5
-0.1
1
1.5
1.8
0.3
0.5
1.4
1.1
2
1.1
0.5
0.6
-0.2
1.9
1.7
1.5
1.5
0.8
0.9
0.3
1
1
1.3
-0.2
-0.2
2.6
1.7
2.3
1.7
0.8
0.5
0.9
0.7
1.6
1.4
0.9
0
1.7
1.5
1.1
0.4
-0.1
0.6
0.5
0.9
1.4
1.1
-0.2
-0.7
1
0.7
0.9
1
0.9
0.5
0.6
0.8
0.5
1.2
0
-0.3
1.3
0.6
1.5
3.4
-0.1
0.2
1.3
1.5
2.2
1
0.2
0
1.7
2.9
4.1
0.4
0.4
2.9
1
0.1
2.7
0.9
0.3
-0.4
3.4
2.2
1.3
1.9
2.3
1.1
-1.7
0.2
2.2
-1.8
-0.9
-2.1
1.4
2.1
2.8
3.1
-0.1
0.4
0.6
1.7
0.9
1.1
-0.1
-1.2
2.3
4.3
3.3
-1.3
-0.8
0.7
0.5
2.1
1.7
-0.4
-1.6
-0.6
2.8
3
3.6
1.7
3.2
1.8
-0.7
0.1
1.1
3.2
0.3
-2.1
1.1
3.3
4.5
3.9
-0.5
0.2
2.6
3
7.2
1.3
-4.7
-2.6
4.5
1.3
3.4
4.9
3
1.3
1.8
1.3
-3
-3.3
-1
0.9
1.848
3.246
5.551
3.995
3.781
1.208
-0.159
-1.143
1.716
1.336
3.719
-0.424
3.127
1.838
5.497
3.879
5.418
6.541
3.441
-2.631
-0.908
-6.618
-12.426
-6.581
2.74
3.146
1.545
1.589
1.845
5.505
-1.025
1.448
0.404
0.622
0.458
-1.141
2.211
0.161
2.666
1.134
0.505
-0.638
0.14
0.9
0.38
0.816
0.276
1.125
3.129
3.251
6.466
4.308
3.17
-0.725
0.6
1.866
1.03
-1.4
-0.574
-1.67
2.974
2.989
5.18
2.075
-0.809
-1.008
-1.121
3.819
3.079
-0.269
-3.284
-1.857
2.036
5.649
1.817
-0.723
1.237
1.675
0.278
0.842
0.813
-1.805
-1.43
-0.061
2.6
2.59
4.53
2.332
2.48
1.328
-0.279
-1.193
0.537
-1.792
-3.841
-4.009
-3.31
3.039
4.184
1.44
3.611
2.498
0.047
-1.012
-1.113
-0.319
-1.506
-2.428
1.171
0.583
3.061
3.38
2.9
2.363
-1.166
0.66
1.734
0.903
-1.127
0.238
4.215
2.288
0.593
2.166
0.624
0.665
-0.506
2.197
3.893
-0.466
0.019
-0.435
4.022
3.367
1.688
2.97
3.123
1.201
0.05
0.419
0.877
1.338
-2.54
-2.408
1.433
3.187
4.273
4.03
1.631
0.153
1.28
-0.038
0.603
1.759
-0.413
-0.701
2.987
2.118
-1.687
-5.17
0.015
4.201
3.907
2.447
1.085
0.324
-0.477
0.732
3.321
4.288
5.583
6.52
6.412
7.492
3.917
1.689
2.225
6.828
4.071
2.559
